fichier	categorie	description	deja_copie_v1zy	classification	found_literal	ligne_literal	ligne_basename_match	found_import	module_import	present	size	sha256
couches_123_daily.csv	input_v1zy_copie	input V1ZY copie sandbox	True	DEP_CERTAINE_LITERAL	True	16		False		True	239888	ae7def2ecce126d13e5a3a82f316cb126e963f9813f1e495f5d5a4ea11651fec
historique_27eq.csv	input_v1zy_copie	input V1ZY copie sandbox	True	DEP_CERTAINE_LITERAL	True	14		False		True	1836199	550c948a5339e0483a0aa9d286ff2295e9bf0d2fc08fc1b628ad4cf6f4a045d8
banc_27d_enrichi_v4.csv	voisin_27d	banc CSV 27D enrichi v4	False	NON_LOCALISE_PAR_GREP_AST_CIBLE	False			False		True	5020673	6850e7f0bb0673498c5db86910570dcf3f6dccb098422c8fd51754f1803ab634
calculer_couches_123_5min.py	voisin_27d	calculateur couches_123 5min	False	NON_LOCALISE_PAR_GREP_AST_CIBLE	False			False		True	4225	855f912c9be4774e2ffe250d082fa34b2dcbdf1567d0bd4b909ff361fa3bba2b
generer_historique_27eq.py	voisin_27d	generateur historique_27eq.csv	False	NON_LOCALISE_PAR_GREP_AST_CIBLE	False			False		True	6206	0a9bcac61f151890c1e14f24b541a2662e3119e6ce6a4a5c9cd8a81e006ec5dd
mondes_27d_constructeur.py	voisin_27d	module Python ecosysteme 27D	False	NON_LOCALISE_PAR_GREP_AST_CIBLE	False			False		True	6583	7dff6c2c5798ffd15a3e88d1e37440c4831b810d6cd85f3112651c9a98d0ade2
mondes_27d_definitions.json	voisin_27d	definitions JSON 27D	False	NON_LOCALISE_PAR_GREP_AST_CIBLE	False			False		True	128412	380063893576f7a294344c72fea942b66b95655cdb6ea051af071a013169d0ba
mondes_27d_resultats.json	voisin_27d	resultats JSON 27D	False	NON_LOCALISE_PAR_GREP_AST_CIBLE	False			False		True	838	c2f0215fa1c40d7ff775735b198d8f9a87e283fc6e617da912e0b46fa41296fd
mondes_27d_v2.py	voisin_27d	module Python 27D v2	False	NON_LOCALISE_PAR_GREP_AST_CIBLE	False			False		True	5989	f57e6972f227a87bab157d17cc9040f986a544e5d37977511e90a7211bf713a3
mondes_27d_v2_resultats.json	voisin_27d	resultats JSON 27D v2	False	NON_LOCALISE_PAR_GREP_AST_CIBLE	False			False		True	508	04fc1437eba01ba3bb6b561f390a3f1e211ac758ca57def0a61446056bfe3593
provinces_27d_live.py	voisin_27d	module Python provinces 27D live	False	NON_LOCALISE_PAR_GREP_AST_CIBLE	False			False		True	20183	ce3f0af79716f9003404e76837907a59a69793d293dc02ae91693a5585d423fb
provinces_thresholds.json	voisin_27d	seuils JSON provinces	False	NON_LOCALISE_PAR_GREP_AST_CIBLE	False			False		True	15427	c4d0867af2a611ea26f13e96c9317e52aeb5b9029ebbad651389a63af234139c
