familles,script,ast,nb_imports,nb_functions,read_hits,write_hits,states_detectes,dangers_detectes,verdict
MULTIVERS,_archives_windows_2026-04-19/multivers_v2 (1).py,OK,4,9,1,0,seragone_v3_final.csv,,TESTER_OFFLINE
BRAINCHEF,_archives_windows_2026-04-19/seragone_brain (1).py,OK,13,17,4,5,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|state.json|taker_1min.db,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_brain_cwt (1).py,OK,8,16,5,3,STATE.JSON|brain_cwt_production.csv|btc_daily.csv|fear_greed_complet.csv|funding_rate_btc.csv|sp500_daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_brain_cwt (2).py,OK,8,17,6,3,STATE.JSON|brain_cwt_production.csv|btc_1min_90j.csv|btc_daily.csv|fear_greed_complet.csv|funding_rate_btc.csv|sp500_daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_brain_cwt (3).py,OK,8,18,6,3,STATE.JSON|brain_cwt_production.csv|btc_1min_90j.csv|btc_daily.csv|fear_greed_complet.csv|funding_rate_btc.csv|sp500_daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_brain_cwt (4).py,OK,9,18,6,3,STATE.JSON|brain_cwt_production.csv|btc_1min_90j.csv|btc_daily.csv|fear_greed_complet.csv|funding_rate_btc.csv|sp500_daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_brain_cwt (5).py,OK,9,18,6,3,STATE.JSON|brain_cwt_production.csv|btc_1min_90j.csv|btc_daily.csv|fear_greed_complet.csv|funding_rate_btc.csv|sp500_daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_brain_cwt (6).py,OK,9,18,6,3,STATE.JSON|brain_cwt_production.csv|btc_1min_90j.csv|btc_daily.csv|fear_greed_complet.csv|funding_rate_btc.csv|sp500_daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_brain_cwt (7).py,OK,9,18,6,3,STATE.JSON|brain_cwt_production.csv|btc_1min_90j.csv|btc_daily.csv|fear_greed_complet.csv|funding_rate_btc.csv|sp500_daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_brain_cwt (8).py,OK,12,17,5,5,btc_daily.csv|btc_daily_clean.csv|state.json|taker_1min.db,ORDER,NEPASBRANCHER
BRAINCHEF,_archives_windows_2026-04-19/seragone_brain_v2 (1).py,OK,9,18,7,5,.csv|state.json,Binance,NEPASBRANCHER
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre (1).py,OK,13,14,2,2,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre (2).py,OK,13,14,2,2,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre (3).py,OK,13,14,2,2,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre (4).py,OK,17,18,5,2,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|fear_greed.csv|funding_rate_btc.csv|sp500_daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre (5).py,OK,17,18,5,2,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|fear_greed.csv|funding_rate_btc.csv|sp500_daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre_v1_state (1).py,OK,27,19,7,3,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|btcdaily.csv|btcdailyclean.csv|btcusd.csv|fear_greed.csv|feargreed.csv|funding_rate_btc.csv|fundingratebtc.csv|signaux_v13.csv|sp500_daily.csv|sp500daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre_v1_state (10).py,OK,36,19,7,3,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|btcdaily.csv|btcdailyclean.csv|btcusd.csv|fear_greed.csv|feargreed.csv|funding_rate_btc.csv|fundingratebtc.csv|signaux_v13.csv|sp500_daily.csv|sp500daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre_v1_state (11).py,OK,36,19,7,3,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|btcdaily.csv|btcdailyclean.csv|btcusd.csv|fear_greed.csv|feargreed.csv|funding_rate_btc.csv|fundingratebtc.csv|signaux_v13.csv|sp500_daily.csv|sp500daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre_v1_state (12).py,OK,36,19,7,3,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|btcdaily.csv|btcdailyclean.csv|btcusd.csv|fear_greed.csv|feargreed.csv|funding_rate_btc.csv|fundingratebtc.csv|signaux_v13.csv|sp500_daily.csv|sp500daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre_v1_state (13).py,OK,36,19,7,3,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|btcdaily.csv|btcdailyclean.csv|btcusd.csv|fear_greed.csv|feargreed.csv|funding_rate_btc.csv|fundingratebtc.csv|signaux_v13.csv|sp500_daily.csv|sp500daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre_v1_state (2).py,OK,28,19,7,3,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|btcdaily.csv|btcdailyclean.csv|btcusd.csv|fear_greed.csv|feargreed.csv|funding_rate_btc.csv|fundingratebtc.csv|signaux_v13.csv|sp500_daily.csv|sp500daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre_v1_state (3).py,OK,30,19,7,3,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|btcdaily.csv|btcdailyclean.csv|btcusd.csv|fear_greed.csv|feargreed.csv|funding_rate_btc.csv|fundingratebtc.csv|signaux_v13.csv|sp500_daily.csv|sp500daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre_v1_state (4).py,OK,32,19,7,3,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|btcdaily.csv|btcdailyclean.csv|btcusd.csv|fear_greed.csv|feargreed.csv|funding_rate_btc.csv|fundingratebtc.csv|signaux_v13.csv|sp500_daily.csv|sp500daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre_v1_state (5).py,OK,33,19,7,3,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|btcdaily.csv|btcdailyclean.csv|btcusd.csv|fear_greed.csv|feargreed.csv|funding_rate_btc.csv|fundingratebtc.csv|signaux_v13.csv|sp500_daily.csv|sp500daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre_v1_state (6).py,OK,33,19,7,3,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|btcdaily.csv|btcdailyclean.csv|btcusd.csv|fear_greed.csv|feargreed.csv|funding_rate_btc.csv|fundingratebtc.csv|signaux_v13.csv|sp500_daily.csv|sp500daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre_v1_state (7).py,OK,33,19,7,3,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|btcdaily.csv|btcdailyclean.csv|btcusd.csv|fear_greed.csv|feargreed.csv|funding_rate_btc.csv|fundingratebtc.csv|signaux_v13.csv|sp500_daily.csv|sp500daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre_v1_state (8).py,OK,35,19,7,3,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|btcdaily.csv|btcdailyclean.csv|btcusd.csv|fear_greed.csv|feargreed.csv|funding_rate_btc.csv|fundingratebtc.csv|signaux_v13.csv|sp500_daily.csv|sp500daily.csv|state.json,,GARDER_CANON_DORMANT
BRAINCHEF,_archives_windows_2026-04-19/seragone_chef_orchestre_v1_state (9).py,OK,36,19,7,3,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|btcdaily.csv|btcdailyclean.csv|btcusd.csv|fear_greed.csv|feargreed.csv|funding_rate_btc.csv|fundingratebtc.csv|signaux_v13.csv|sp500_daily.csv|sp500daily.csv|state.json,,GARDER_CANON_DORMANT
SUBDAILY,aggregate_subdaily.py,OK,2,3,2,1,.csv|min.csv,,GARDER_CANON_DORMANT
BORN,backtest_born.py,OK,3,6,1,0,seragone_v3_final.csv,,TESTER_OFFLINE
