freq	script	write_target	write_mode
@reboot	collector_binance.py	?	a
@reboot	collector_binance.py	?	a
@reboot	seragone_brain.py	?	w
@reboot	seragone_brain.py	(dump)	w
@reboot	seragone_brain.py	?	a
@reboot	sniper_live.py	?	a
@reboot	sniper_live.py	?	w
@reboot	sniper_live.py	?	w
@reboot	sniper_live.py	(dump)	w
* * * * *	update_live.py	?	w
* * * * *	update_live.py	(dump)	w
* * * * *	update_live.py	?	w
* * * * *	seragone_pilot.py	?	a
* * * * *	seragone_pilot.py	?	w
* * * * *	seragone_pilot.py	(dump)	w
* * * * *	seragone_pilot.py	?	w
* * * * *	seragone_pilot.py	(dump)	w
*/5 * * * *	temps_seragone.py	?	w
*/5 * * * *	temps_seragone.py	(dump)	w
*/30 * * * *	multivers_progressif.py	?	w
*/30 * * * *	multivers_progressif.py	(dump)	w
*/30 * * * *	multivers_v2.py	(no_explicit_write)	-
0 * * * *	update_data.py	?	w
0 * * * *	update_data.py	?	w
0 * * * *	update_data.py	?	w
0 * * * *	update_data.py	?	w
55 7 * * *	compute_ec_daily.py	e_df.to_csv	w
55 7 * * *	compute_ec_daily.py	c_df.to_csv	w
55 7 * * *	compute_ec_daily.py	?	w
55 7 * * *	compute_ec_daily.py	(dump)	w
0 8 * * *	cryptoquant_scraper.py	?	w
2 8 * * *	q_jour_calc.py	?	w
2 8 * * *	q_jour_calc.py	(dump)	w
2 8 * * *	q_jour_calc.py	?	w
2 8 * * *	q_jour_calc.py	(dump)	w
5 8 * * *	gardien_onchain.py	?	w
8 8 * * *	moteur_cyclique.py	?	w
8 8 * * *	moteur_cyclique.py	(dump)	w
7 8 * * *	symetrie_module.py	?	w
7 8 * * *	symetrie_module.py	(dump)	w
7 8 * * *	symetrie_module.py	?	a
9 8 * * *	prudence_module.py	?	w
9 8 * * *	prudence_module.py	(dump)	w
9 8 * * *	prudence_module.py	?	a
10 8 * * *	seragone_chef_orchestre_v1_state.py	?	w
10 8 * * *	seragone_chef_orchestre_v1_state.py	(dump)	w
13 8 * * *	souffle_live.py	?	w
13 8 * * *	souffle_live.py	(dump)	w
12 8 * * *	mondes_communicants.py	?	w
12 8 * * *	mondes_communicants.py	(dump)	w
12 8 * * *	mondes_communicants.py	?	w
12 8 * * *	mondes_communicants.py	(dump)	w
15 8 * * *	mondes_paralleles_engine.py	?	a
20 8 * * *	seragone_7d_clean.py	optimisation_7d_result.json	w
20 8 * * *	seragone_7d_clean.py	(dump)	w
25 8 * * *	batch_mondes_recursifs.py	df.to_csv	w
25 8 * * *	batch_mondes_recursifs.py	?	w
25 8 * * *	batch_mondes_recursifs.py	(dump)	w
30 8 * * *	vrais_yeux_subdaily.py	(no_explicit_write)	-
35 8 * * *	recursif_v1_signal.py	?	a
40 8 * * *	recursif_nc_bridge.py	?	a
45 8 * * *	notif_pionex.py	(no_explicit_write)	-
30 0 * * *	seragone_redundance_monitor.py	work.to_csv	w
30 7 * * *	nc_engine.py	?	w
30 7 * * *	nc_engine.py	(dump)	w
18 8 * * *	provinces_27d_live.py	?	w
18 8 * * *	provinces_27d_live.py	(dump)	w
18 8 * * *	provinces_27d_live.py	?	w
18 8 * * *	provinces_27d_live.py	(dump)	w
18 8 * * *	provinces_27d_live.py	?	w
18 8 * * *	provinces_27d_live.py	(dump)	w
48 8 * * *	mondes_autonomes.py	?	w
48 8 * * *	mondes_autonomes.py	(dump)	w
*/5 * * * *	subdaily_runner.py	?	w
*/5 * * * *	subdaily_runner.py	(dump)	w
*/5 * * * *	chronometer_fluide.py	?	w
*/5 * * * *	chronometer_fluide.py	(dump)	w
50 8 * * *	born_temps_live.py	?	w
50 8 * * *	born_temps_live.py	(dump)	w
6,36 * * * *	chaines_epurees.py	?	a
6,36 * * * *	chaines_epurees.py	?	w
6,36 * * * *	chaines_epurees.py	(dump)	w
31 7 * * *	nc_history_writer.py	?	w
31 7 * * *	nc_history_writer.py	(dump)	w
31 7 * * *	nc_history_writer.py	?	w
31 7 * * *	nc_history_writer.py	(dump)	w
11 8 * * *	nourrir_92_mondes.py	?	a
@reboot	tireur_pulse.py	?	w
@reboot	tireur_pulse.py	(dump)	w
@reboot	tireur_pulse.py	?	a
@reboot	tireur_pulse.py	?	w
@reboot	tireur_pulse.py	(dump)	w
@reboot	tireur_pulse.py	?	w
@reboot	tireur_pulse.py	(dump)	w
*/5 * * * *	tireur_5min.py	?	w
*/5 * * * *	tireur_5min.py	(dump)	w
*/5 * * * *	tireur_5min.py	?	a
8 8 * * *	extract_18ss.py	?	w
8 8 * * *	extract_18ss.py	(dump)	w
